".rownames","t","y","estimate","Resid"
"R1",1660,0.00234573574122875,0.109617569098324,-0.107271833357095
"R1",1661,-0.140512352404434,0.0481927249456707,-0.188705077350105
"R1",1662,-0.0214639456163817,-0.0710079016026163,0.0495439559862346
"R1",1663,-0.0690833083316026,-0.00216600628457854,-0.0669173020470241
"R1",1664,-0.140512352404434,-0.0214056975894157,-0.119106654815018
"R1",1665,-0.47384789141098,-0.0830829881762262,-0.390764903234754
"R1",1666,-0.47384789141098,-0.362008369155881,-0.111839522255099
"R1",1667,-0.259560759192486,-0.415116693448603,0.155555934256117
"R1",1668,-0.47384789141098,-0.272166410435393,-0.201681480975587
"R1",1669,-0.47384789141098,-0.390034003060277,-0.0838138883507028
"R1",1670,-0.47384789141098,-0.404864365644034,-0.0689835257669467
"R1",1671,-0.47384789141098,-0.40522027635459,-0.0686276150563903
"R1",1672,-0.259560759192486,-0.407615729809026,0.14805497061654
"R1",1673,-0.188131715119655,-0.246576976528139,0.0584452614084845
"R1",1674,-0.47384789141098,-0.172840713956288,-0.301007177454692
"R1",1675,-0.47384789141098,-0.390794232790862,-0.0830536586201184
"R1",1676,-0.47384789141098,-0.453614382602863,-0.0202335088081174
"R1",1677,-0.47384789141098,-0.484459292813417,0.010611401402437
"R1",1678,-0.47384789141098,-0.580836111206994,0.106988219796013
"R1",1679,-0.47384789141098,-0.638347843730542,0.164499952319562
"R1",1680,-0.47384789141098,-0.661681792027403,0.187833900616423
"R1",1681,-0.47384789141098,-0.552599611990544,0.0787517205795641
"R1",1682,-0.47384789141098,-0.471707609379951,-0.00214028203102962
"R1",1683,-0.47384789141098,-0.400895737940462,-0.0729521534705186
"R1",1684,-0.47384789141098,-0.390483002585616,-0.0833648888253641
"R1",1685,-0.47384789141098,-0.464325043158047,-0.00952284825293309
"R1",1686,-0.47384789141098,-0.488623804259971,0.0147759128489906
"R1",1687,-0.47384789141098,-0.515162432850968,0.0413145414399876
"R1",1688,-0.47384789141098,-0.435261077563415,-0.0385868138475656
"R1",1689,-0.47384789141098,-0.423640225953659,-0.0502076654573215
"R1",1690,-0.47384789141098,-0.425340053915578,-0.0485078374954018
"R1",1691,-0.47384789141098,-0.446378542072128,-0.0274693493388518
"R1",1692,-0.47384789141098,-0.475770437411291,0.001922546000311
"R1",1693,-0.47384789141098,-0.445442636762417,-0.0284052546485631
"R1",1694,-0.47384789141098,-0.426896482132169,-0.0469514092788114
"R1",1695,-0.47384789141098,-0.417508319125395,-0.056339572285585
"R1",1696,-0.47384789141098,-0.439771239145613,-0.0340766522653672
"R1",1697,-0.47384789141098,-0.457556288420337,-0.0162916029906437
"R1",1698,-0.47384789141098,-0.450679128310794,-0.0231687631001862
"R1",1699,-0.47384789141098,-0.451266837675544,-0.0225810537354366
"R1",1700,-0.47384789141098,-0.461272821242145,-0.0125750701688347
"R1",1701,-0.47384789141098,-0.459777477722218,-0.0140704136887626
"R1",1702,-0.47384789141098,-0.468701394267236,-0.00514649714374454
"R1",1703,-0.47384789141098,-0.48120518730137,0.00735729589039014
"R1",1704,-0.47384789141098,-0.468443501870803,-0.00540438954017697
"R1",1705,-0.47384789141098,-0.470220375370604,-0.00362751604037598
"R1",1706,-0.47384789141098,-0.483879583798919,0.0100316923879387
"R1",1707,-0.47384789141098,-0.466072566715654,-0.00777532469532599
"R1",1708,-0.47384789141098,-0.490694780992915,0.0168468895819351
"R1",1709,-0.47384789141098,-0.52397612075507,0.0501282293440898
"R1",1710,-0.47384789141098,-0.507316101885037,0.0334682104740568
"R1",1711,-0.47384789141098,-0.486198893205028,0.0123510017940477
"R1",1712,-0.47384789141098,-0.48968593236166,0.0158380409506801
"R1",1713,-0.47384789141098,-0.473536338491633,-0.000311552919347369
"R1",1714,-0.47384789141098,-0.465901125347995,-0.00794676606298494
"R1",1715,-0.47384789141098,-0.459624425273928,-0.0142234661370525
"R1",1716,-0.47384789141098,-0.461326254521012,-0.0125216368899687
"R1",1717,-0.47384789141098,-0.455668398956374,-0.0181794924546066
"R1",1718,-0.47384789141098,-0.438146369376513,-0.0357015220344676
"R1",1719,-0.47384789141098,-0.400916118045954,-0.0729317733650259
"R1",1720,-0.47384789141098,-0.399987415187738,-0.0738604762232427
"R1",1721,-0.47384789141098,-0.410451760619404,-0.0633961307915765
"R1",1722,-0.47384789141098,-0.444780406711127,-0.0290674846998529
"R1",1723,-0.47384789141098,-0.442343976792501,-0.0315039146184792
"R1",1724,-0.47384789141098,-0.433576482328921,-0.0402714090820587
"R1",1725,-0.47384789141098,-0.490642539078208,0.016794647667228
"R1",1726,-0.47384789141098,-0.53195292606841,0.0581050346574295
"R1",1727,-0.47384789141098,-0.505312104371545,0.0314642129605651
"R1",1728,-0.47384789141098,-0.483230342366607,0.00938245095562695
"R1",1729,-0.47384789141098,-0.45894246092899,-0.0149054304819897
"R1",1730,-0.47384789141098,-0.467089125401454,-0.00675876600952657
"R1",1731,-0.47384789141098,-0.477805942777483,0.00395805136650318
"R1",1732,-0.47384789141098,-0.482746829859765,0.00889893844878503
"R1",1733,-0.47384789141098,-0.497738736443139,0.0238908450321591
"R1",1734,-0.47384789141098,-0.489773883299901,0.0159259918889207
"R1",1735,-0.47384789141098,-0.457073196380637,-0.0167746950303432
"R1",1736,-0.47384789141098,-0.431334248843588,-0.0425136425673922
"R1",1737,-0.47384789141098,-0.449259853246909,-0.0245880381640715
"R1",1738,-0.47384789141098,-0.452561758036263,-0.0212861333747173
"R1",1739,-0.47384789141098,-0.439348090173359,-0.0344998012376209
"R1",1740,-0.47384789141098,-0.439504982706125,-0.0343429087048551
"R1",1741,-0.47384789141098,-0.428382825977318,-0.0454650654336625
"R1",1742,-0.47384789141098,-0.429994184109844,-0.0438537073011364
"R1",1743,-0.47384789141098,-0.448741168589266,-0.0251067228217142
"R1",1744,-0.47384789141098,-0.471012648452775,-0.00283524295820492
"R1",1745,-0.47384789141098,-0.488236784064719,0.0143888926537389
"R1",1746,-0.47384789141098,-0.480105475345739,0.00625758393475923
"R1",1747,-0.47384789141098,-0.457199750483558,-0.0166481409274225
