"Date","DivName","MnDischarge_cfs"
2002-10-06,"BELCN",20
2002-10-07,"BELCN",20
2002-10-08,"BELCN",20.304347826087
2002-10-09,"BELCN",21
2002-10-10,"BELCN",20.75
2002-10-11,"BELCN",20.9375
2002-10-12,"BELCN",20.8541666666667
2002-10-13,"BELCN",21
2002-10-14,"BELCN",21
2002-10-15,"BELCN",21.0833333333333
2002-10-16,"BELCN",21.9791666666667
2002-10-17,"BELCN",21.5
2002-10-18,"BELCN",22
2002-10-19,"BELCN",22
2002-10-20,"BELCN",21.6875
2002-10-21,"BELCN",21.3958333333333
2002-10-22,"BELCN",21.0208333333333
2002-10-23,"BELCN",21.3125
2002-10-24,"BELCN",21.0625
2002-10-25,"BELCN",20
2002-10-26,"BELCN",19.8541666666667
2002-10-27,"BELCN",19.5
2002-10-28,"BELCN",18.3541666666667
2002-10-29,"BELCN",14.5833333333333
2002-10-30,"BELCN",14
2002-10-31,"BELCN",14
2002-11-01,"BELCN",14
2002-11-02,"BELCN",14
2002-11-03,"BELCN",14
2002-11-04,"BELCN",14
2002-11-05,"BELCN",14
2002-11-06,"BELCN",14
2002-11-07,"BELCN",9.04166666666667
2002-11-08,"BELCN",0
2002-11-09,"BELCN",0
2002-11-10,"BELCN",0
2002-11-11,"BELCN",0
2002-11-12,"BELCN",0
2002-11-13,"BELCN",0
2002-11-14,"BELCN",0
2002-11-15,"BELCN",0
2002-11-16,"BELCN",0
2002-11-17,"BELCN",0
2002-11-18,"BELCN",0
2002-11-19,"BELCN",0
2002-11-20,"BELCN",0
2002-11-21,"BELCN",0
2002-11-22,"BELCN",0
2002-11-23,"BELCN",0
2002-11-24,"BELCN",0
2002-11-25,"BELCN",0
2002-11-26,"BELCN",0
2002-11-27,"BELCN",0
2002-11-28,"BELCN",0
2002-11-29,"BELCN",0
2002-11-30,"BELCN",0
2002-12-01,"BELCN",0
2002-12-02,"BELCN",0
2002-12-03,"BELCN",0
2002-12-04,"BELCN",0
2002-12-05,"BELCN",0
2002-12-06,"BELCN",0
2002-12-07,"BELCN",0
2002-12-08,"BELCN",0
2002-12-09,"BELCN",0
2002-12-10,"BELCN",0
2002-12-11,"BELCN",0
2002-12-12,"BELCN",0
2002-12-13,"BELCN",0
2002-12-14,"BELCN",0
2002-12-15,"BELCN",0
2002-12-16,"BELCN",0
2002-12-17,"BELCN",0
2002-12-18,"BELCN",0
2002-12-19,"BELCN",0
2002-12-20,"BELCN",0
2002-12-21,"BELCN",0
2002-12-22,"BELCN",0
2002-12-23,"BELCN",0
2002-12-24,"BELCN",0
2002-12-25,"BELCN",0
2002-12-26,"BELCN",0
