"Date","Reach","DownStreamSeg","RMTenthDry","Dry"
2019-08-29,"San Acacia",79.15,81.15,0
2019-08-29,"San Acacia",79.15,81.25,0
2019-08-29,"San Acacia",79.15,81.35,0
2019-08-29,"San Acacia",79.15,81.45,0
2019-08-30,"San Acacia",79.15,81.46,0
2019-08-30,"San Acacia",79.15,79.15,0
2019-08-30,"San Acacia",79.15,79.25,0
2019-08-30,"San Acacia",79.15,79.35,0
2019-08-30,"San Acacia",79.15,79.45,0
2019-08-30,"San Acacia",79.15,79.55,0
2019-08-30,"San Acacia",79.15,79.65,0
2019-08-30,"San Acacia",79.15,79.75,0
2019-08-30,"San Acacia",79.15,79.85,0
2019-08-30,"San Acacia",79.15,79.95,0
2019-08-30,"San Acacia",79.15,80.05,0
2019-08-30,"San Acacia",79.15,80.15,0
2019-08-30,"San Acacia",79.15,80.25,0
2019-08-30,"San Acacia",79.15,80.35,0
2019-08-30,"San Acacia",79.15,80.45,0
2019-08-30,"San Acacia",79.15,80.55,0
2019-08-30,"San Acacia",79.15,80.65,0
2019-08-30,"San Acacia",79.15,80.75,0
2019-08-30,"San Acacia",79.15,80.85,0
2019-08-30,"San Acacia",79.15,80.95,0
2019-08-30,"San Acacia",79.15,81.05,0
2019-08-30,"San Acacia",79.15,81.15,0
2019-08-30,"San Acacia",79.15,81.25,0
2019-08-30,"San Acacia",79.15,81.35,0
2019-08-30,"San Acacia",79.15,81.45,0
2019-08-31,"San Acacia",79.15,81.46,0
2019-08-31,"San Acacia",79.15,79.15,0
2019-08-31,"San Acacia",79.15,79.25,0
2019-08-31,"San Acacia",79.15,79.35,0
2019-08-31,"San Acacia",79.15,79.45,0
2019-08-31,"San Acacia",79.15,79.55,0
2019-08-31,"San Acacia",79.15,79.65,0
2019-08-31,"San Acacia",79.15,79.75,0
2019-08-31,"San Acacia",79.15,79.85,0
2019-08-31,"San Acacia",79.15,79.95,0
2019-08-31,"San Acacia",79.15,80.05,0
2019-08-31,"San Acacia",79.15,80.15,0
2019-08-31,"San Acacia",79.15,80.25,0
2019-08-31,"San Acacia",79.15,80.35,0
2019-08-31,"San Acacia",79.15,80.45,0
2019-08-31,"San Acacia",79.15,80.55,0
2019-08-31,"San Acacia",79.15,80.65,0
2019-08-31,"San Acacia",79.15,80.75,0
2019-08-31,"San Acacia",79.15,80.85,0
2019-08-31,"San Acacia",79.15,80.95,0
2019-08-31,"San Acacia",79.15,81.05,0
2019-08-31,"San Acacia",79.15,81.15,0
2019-08-31,"San Acacia",79.15,81.25,0
2019-08-31,"San Acacia",79.15,81.35,0
2019-08-31,"San Acacia",79.15,81.45,0
2019-09-01,"San Acacia",79.15,81.46,0
2019-09-01,"San Acacia",79.15,79.15,0
2019-09-01,"San Acacia",79.15,79.25,0
2019-09-01,"San Acacia",79.15,79.35,0
2019-09-01,"San Acacia",79.15,79.45,0
2019-09-01,"San Acacia",79.15,79.55,0
2019-09-01,"San Acacia",79.15,79.65,0
2019-09-01,"San Acacia",79.15,79.75,0
2019-09-01,"San Acacia",79.15,79.85,0
2019-09-01,"San Acacia",79.15,79.95,0
2019-09-01,"San Acacia",79.15,80.05,0
2019-09-01,"San Acacia",79.15,80.15,0
2019-09-01,"San Acacia",79.15,80.25,0
2019-09-01,"San Acacia",79.15,80.35,0
2019-09-01,"San Acacia",79.15,80.45,0
2019-09-01,"San Acacia",79.15,80.55,0
2019-09-01,"San Acacia",79.15,80.65,0
2019-09-01,"San Acacia",79.15,80.75,0
2019-09-01,"San Acacia",79.15,80.85,0
2019-09-01,"San Acacia",79.15,80.95,0
2019-09-01,"San Acacia",79.15,81.05,0
2019-09-01,"San Acacia",79.15,81.15,0
2019-09-01,"San Acacia",79.15,81.25,0
2019-09-01,"San Acacia",79.15,81.35,0
2019-09-01,"San Acacia",79.15,81.45,0
2019-09-26,"San Acacia",81.5,81.65,0
2019-09-26,"San Acacia",81.5,81.5,0
2019-09-26,"San Acacia",81.5,81.6,0
2019-09-27,"San Acacia",76.2,81.85,0
2019-09-27,"San Acacia",76.2,76.2,0
2019-09-27,"San Acacia",76.2,76.3,0
2019-09-27,"San Acacia",76.2,76.4,0
2019-09-27,"San Acacia",76.2,76.5,0
2019-09-27,"San Acacia",76.2,76.6,0
2019-09-27,"San Acacia",76.2,76.7,0
2019-09-27,"San Acacia",76.2,76.8,0
2019-09-27,"San Acacia",76.2,76.9,0
2019-09-27,"San Acacia",76.2,77,0
2019-09-27,"San Acacia",76.2,77.1,0
2019-09-27,"San Acacia",76.2,77.2,0
2019-09-27,"San Acacia",76.2,77.3,0
2019-09-27,"San Acacia",76.2,77.4,0
2019-09-27,"San Acacia",76.2,77.5,0
2019-09-27,"San Acacia",76.2,77.6,0
2019-09-27,"San Acacia",76.2,77.7,0
2019-09-27,"San Acacia",76.2,77.8,0
2019-09-27,"San Acacia",76.2,77.9,0
2019-09-27,"San Acacia",76.2,78,0
2019-09-27,"San Acacia",76.2,78.1,0
2019-09-27,"San Acacia",76.2,78.2,0
2019-09-27,"San Acacia",76.2,78.3,0
2019-09-27,"San Acacia",76.2,78.4,0
2019-09-27,"San Acacia",76.2,78.5,0
2019-09-27,"San Acacia",76.2,78.6,0
2019-09-27,"San Acacia",76.2,78.7,0
2019-09-27,"San Acacia",76.2,78.8,0
2019-09-27,"San Acacia",76.2,78.9,0
2019-09-27,"San Acacia",76.2,79,0
2019-09-27,"San Acacia",76.2,79.1,0
2019-09-27,"San Acacia",76.2,79.2,0
2019-09-27,"San Acacia",76.2,79.3,0
2019-09-27,"San Acacia",76.2,79.4,0
2019-09-27,"San Acacia",76.2,79.5,0
2019-09-27,"San Acacia",76.2,79.6,0
2019-09-27,"San Acacia",76.2,79.7,0
2019-09-27,"San Acacia",76.2,79.8,0
2019-09-27,"San Acacia",76.2,79.9,0
2019-09-27,"San Acacia",76.2,80,0
2019-09-27,"San Acacia",76.2,80.1,0
2019-09-27,"San Acacia",76.2,80.2,0
2019-09-27,"San Acacia",76.2,80.3,0
2019-09-27,"San Acacia",76.2,80.4,0
2019-09-27,"San Acacia",76.2,80.5,0
2019-09-27,"San Acacia",76.2,80.6,0
2019-09-27,"San Acacia",76.2,80.7,0
2019-09-27,"San Acacia",76.2,80.8,0
2019-09-27,"San Acacia",76.2,80.9,0
2019-09-27,"San Acacia",76.2,81,0
2019-09-27,"San Acacia",76.2,81.1,0
2019-09-27,"San Acacia",76.2,81.2,0
2019-09-27,"San Acacia",76.2,81.3,0
2019-09-27,"San Acacia",76.2,81.4,0
2019-09-27,"San Acacia",76.2,81.5,0
2019-09-27,"San Acacia",76.2,81.6,0
2019-09-27,"San Acacia",76.2,81.7,0
2019-09-27,"San Acacia",76.2,81.8,0
2019-10-02,"San Acacia",73.88,82.25,0
2019-10-02,"San Acacia",73.88,73.88,0
2019-10-02,"San Acacia",73.88,73.98,0
2019-10-02,"San Acacia",73.88,74.08,0
2019-10-02,"San Acacia",73.88,74.18,0
2019-10-02,"San Acacia",73.88,74.28,0
2019-10-02,"San Acacia",73.88,74.38,0
2019-10-02,"San Acacia",73.88,74.48,0
2019-10-02,"San Acacia",73.88,74.58,0
2019-10-02,"San Acacia",73.88,74.68,0
2019-10-02,"San Acacia",73.88,74.78,0
2019-10-02,"San Acacia",73.88,74.88,0
2019-10-02,"San Acacia",73.88,74.98,0
2019-10-02,"San Acacia",73.88,75.08,0
2019-10-02,"San Acacia",73.88,75.18,0
2019-10-02,"San Acacia",73.88,75.28,0
2019-10-02,"San Acacia",73.88,75.38,0
2019-10-02,"San Acacia",73.88,75.48,0
2019-10-02,"San Acacia",73.88,75.58,0
2019-10-02,"San Acacia",73.88,75.68,0
2019-10-02,"San Acacia",73.88,75.78,0
2019-10-02,"San Acacia",73.88,75.88,0
2019-10-02,"San Acacia",73.88,75.98,0
2019-10-02,"San Acacia",73.88,76.08,0
2019-10-02,"San Acacia",73.88,76.18,0
2019-10-02,"San Acacia",73.88,76.28,0
2019-10-02,"San Acacia",73.88,76.38,0
2019-10-02,"San Acacia",73.88,76.48,0
2019-10-02,"San Acacia",73.88,76.58,0
2019-10-02,"San Acacia",73.88,76.68,0
2019-10-02,"San Acacia",73.88,76.78,0
2019-10-02,"San Acacia",73.88,76.88,0
2019-10-02,"San Acacia",73.88,76.98,0
2019-10-02,"San Acacia",73.88,77.08,0
2019-10-02,"San Acacia",73.88,77.18,0
2019-10-02,"San Acacia",73.88,77.28,0
2019-10-02,"San Acacia",73.88,77.38,0
2019-10-02,"San Acacia",73.88,77.48,0
2019-10-02,"San Acacia",73.88,77.58,0
2019-10-02,"San Acacia",73.88,77.68,0
2019-10-02,"San Acacia",73.88,77.78,0
2019-10-02,"San Acacia",73.88,77.88,0
2019-10-02,"San Acacia",73.88,77.98,0
2019-10-02,"San Acacia",73.88,78.08,0
2019-10-02,"San Acacia",73.88,78.18,0
2019-10-02,"San Acacia",73.88,78.28,0
2019-10-02,"San Acacia",73.88,78.38,0
2019-10-02,"San Acacia",73.88,78.48,0
2019-10-02,"San Acacia",73.88,78.58,0
2019-10-02,"San Acacia",73.88,78.68,0
2019-10-02,"San Acacia",73.88,78.78,0
2019-10-02,"San Acacia",73.88,78.88,0
2019-10-02,"San Acacia",73.88,78.98,0
2019-10-02,"San Acacia",73.88,79.08,0
2019-10-02,"San Acacia",73.88,79.18,0
2019-10-02,"San Acacia",73.88,79.28,0
2019-10-02,"San Acacia",73.88,79.38,0
2019-10-02,"San Acacia",73.88,79.48,0
2019-10-02,"San Acacia",73.88,79.58,0
2019-10-02,"San Acacia",73.88,79.68,0
2019-10-02,"San Acacia",73.88,79.78,0
2019-10-02,"San Acacia",73.88,79.88,0
2019-10-02,"San Acacia",73.88,79.98,0
2019-10-02,"San Acacia",73.88,80.08,0
2019-10-02,"San Acacia",73.88,80.18,0
2019-10-02,"San Acacia",73.88,80.28,0
2019-10-02,"San Acacia",73.88,80.38,0
2019-10-02,"San Acacia",73.88,80.48,0
2019-10-02,"San Acacia",73.88,80.58,0
2019-10-02,"San Acacia",73.88,80.68,0
2019-10-02,"San Acacia",73.88,80.78,0
2019-10-02,"San Acacia",73.88,80.88,0
2019-10-02,"San Acacia",73.88,80.98,0
2019-10-02,"San Acacia",73.88,81.08,0
2019-10-02,"San Acacia",73.88,81.18,0
2019-10-02,"San Acacia",73.88,81.28,0
2019-10-02,"San Acacia",73.88,81.38,0
2019-10-02,"San Acacia",73.88,81.48,0
2019-10-02,"San Acacia",73.88,81.58,0
2019-10-02,"San Acacia",73.88,81.68,0
2019-10-02,"San Acacia",73.88,81.78,0
2019-10-02,"San Acacia",73.88,81.88,0
2019-10-02,"San Acacia",73.88,81.98,0
2019-10-02,"San Acacia",73.88,82.08,0
2019-10-02,"San Acacia",73.88,82.18,0
2019-10-01,"San Acacia",73.88,82.42,0
2019-10-01,"San Acacia",73.88,73.88,0
2019-10-01,"San Acacia",73.88,73.98,0
2019-10-01,"San Acacia",73.88,74.08,0
2019-10-01,"San Acacia",73.88,74.18,0
2019-10-01,"San Acacia",73.88,74.28,0
2019-10-01,"San Acacia",73.88,74.38,0
2019-10-01,"San Acacia",73.88,74.48,0
2019-10-01,"San Acacia",73.88,74.58,0
2019-10-01,"San Acacia",73.88,74.68,0
2019-10-01,"San Acacia",73.88,74.78,0
2019-10-01,"San Acacia",73.88,74.88,0
2019-10-01,"San Acacia",73.88,74.98,0
2019-10-01,"San Acacia",73.88,75.08,0
2019-10-01,"San Acacia",73.88,75.18,0
2019-10-01,"San Acacia",73.88,75.28,0
2019-10-01,"San Acacia",73.88,75.38,0
2019-10-01,"San Acacia",73.88,75.48,0
2019-10-01,"San Acacia",73.88,75.58,0
2019-10-01,"San Acacia",73.88,75.68,0
2019-10-01,"San Acacia",73.88,75.78,0
2019-10-01,"San Acacia",73.88,75.88,0
2019-10-01,"San Acacia",73.88,75.98,0
2019-10-01,"San Acacia",73.88,76.08,0
2019-10-01,"San Acacia",73.88,76.18,0
2019-10-01,"San Acacia",73.88,76.28,0
2019-10-01,"San Acacia",73.88,76.38,0
2019-10-01,"San Acacia",73.88,76.48,0
2019-10-01,"San Acacia",73.88,76.58,0
2019-10-01,"San Acacia",73.88,76.68,0
2019-10-01,"San Acacia",73.88,76.78,0
2019-10-01,"San Acacia",73.88,76.88,0
2019-10-01,"San Acacia",73.88,76.98,0
2019-10-01,"San Acacia",73.88,77.08,0
2019-10-01,"San Acacia",73.88,77.18,0
2019-10-01,"San Acacia",73.88,77.28,0
2019-10-01,"San Acacia",73.88,77.38,0
2019-10-01,"San Acacia",73.88,77.48,0
2019-10-01,"San Acacia",73.88,77.58,0
2019-10-01,"San Acacia",73.88,77.68,0
2019-10-01,"San Acacia",73.88,77.78,0
2019-10-01,"San Acacia",73.88,77.88,0
2019-10-01,"San Acacia",73.88,77.98,0
2019-10-01,"San Acacia",73.88,78.08,0
2019-10-01,"San Acacia",73.88,78.18,0
2019-10-01,"San Acacia",73.88,78.28,0
2019-10-01,"San Acacia",73.88,78.38,0
2019-10-01,"San Acacia",73.88,78.48,0
2019-10-01,"San Acacia",73.88,78.58,0
2019-10-01,"San Acacia",73.88,78.68,0
2019-10-01,"San Acacia",73.88,78.78,0
2019-10-01,"San Acacia",73.88,78.88,0
2019-10-01,"San Acacia",73.88,78.98,0
2019-10-01,"San Acacia",73.88,79.08,0
2019-10-01,"San Acacia",73.88,79.18,0
2019-10-01,"San Acacia",73.88,79.28,0
2019-10-01,"San Acacia",73.88,79.38,0
2019-10-01,"San Acacia",73.88,79.48,0
2019-10-01,"San Acacia",73.88,79.58,0
2019-10-01,"San Acacia",73.88,79.68,0
2019-10-01,"San Acacia",73.88,79.78,0
2019-10-01,"San Acacia",73.88,79.88,0
2019-10-01,"San Acacia",73.88,79.98,0
2019-10-01,"San Acacia",73.88,80.08,0
2019-10-01,"San Acacia",73.88,80.18,0
2019-10-01,"San Acacia",73.88,80.28,0
2019-10-01,"San Acacia",73.88,80.38,0
2019-10-01,"San Acacia",73.88,80.48,0
2019-10-01,"San Acacia",73.88,80.58,0
2019-10-01,"San Acacia",73.88,80.68,0
2019-10-01,"San Acacia",73.88,80.78,0
2019-10-01,"San Acacia",73.88,80.88,0
2019-10-01,"San Acacia",73.88,80.98,0
2019-10-01,"San Acacia",73.88,81.08,0
2019-10-01,"San Acacia",73.88,81.18,0
2019-10-01,"San Acacia",73.88,81.28,0
2019-10-01,"San Acacia",73.88,81.38,0
2019-10-01,"San Acacia",73.88,81.48,0
2019-10-01,"San Acacia",73.88,81.58,0
2019-10-01,"San Acacia",73.88,81.68,0
2019-10-01,"San Acacia",73.88,81.78,0
2019-10-01,"San Acacia",73.88,81.88,0
2019-10-01,"San Acacia",73.88,81.98,0
2019-10-01,"San Acacia",73.88,82.08,0
2019-10-01,"San Acacia",73.88,82.18,0
2019-10-01,"San Acacia",73.88,82.28,0
2019-10-01,"San Acacia",73.88,82.38,0
2019-09-30,"San Acacia",73.88,82.46,0
2019-09-30,"San Acacia",73.88,73.88,0
2019-09-30,"San Acacia",73.88,73.98,0
2019-09-30,"San Acacia",73.88,74.08,0
2019-09-30,"San Acacia",73.88,74.18,0
2019-09-30,"San Acacia",73.88,74.28,0
2019-09-30,"San Acacia",73.88,74.38,0
2019-09-30,"San Acacia",73.88,74.48,0
2019-09-30,"San Acacia",73.88,74.58,0
2019-09-30,"San Acacia",73.88,74.68,0
2019-09-30,"San Acacia",73.88,74.78,0
2019-09-30,"San Acacia",73.88,74.88,0
2019-09-30,"San Acacia",73.88,74.98,0
2019-09-30,"San Acacia",73.88,75.08,0
2019-09-30,"San Acacia",73.88,75.18,0
